$TrialName	#Run	#Epoch	#Sequence	#RunName	#ACCPos	#ACCNeg	#Gated	#Should	#Match	#PFCVM_RT	#PFCVM_ActAvg	#MtxGo_ActAvg	#Rew
0.000000_0.000000	0	0	8	0	0	0	0.9688	0	0.03125	0.7037	0.07159	0.3874	-0.9375
0.000000_0.100000	0	0	40	0	0	0.1	0.9062	0	0.09375	0.6671	0.0816	0.389	-0.8125
0.000000_0.200000	0	0	72	0	0	0.2	0.6875	0	0.3125	0.49	0.06613	0.3775	-0.375
0.000000_0.300000	0	0	104	0	0	0.3	0	0	1	0	0.01037	0.219	1
0.000000_0.400000	0	0	136	0	0	0.4	0	0	1	0	0.007753	0.1598	1
0.000000_0.500000	0	0	168	0	0	0.5	0	0	1	0	0.0001957	0.1002	1
0.000000_0.600000	0	0	200	0	0	0.6	0	0	1	0	0	0.007802	1
0.000000_0.700000	0	0	232	0	0	0.7	0	0	1	0	0	0	1
0.000000_0.800000	0	0	264	0	0	0.8	0	0	1	0	0	0	1
0.000000_0.900000	0	0	296	0	0	0.9	0	0	1	0	0	0	1
0.000000_1.000000	0	0	328	0	0	1	0	0	1	0	0	0	1
0.100000_0.000000	0	0	360	0	0.1	0	0.8438	1	0.8438	0.6823	0.07723	0.3868	0.6875
0.100000_0.100000	0	0	392	0	0.1	0.1	0.7812	0	0.2188	0.71	0.06284	0.3977	-0.5625
0.100000_0.200000	0	0	424	0	0.1	0.2	0.5	0	0.5	0.45	0.0574	0.3747	0
0.100000_0.300000	0	0	456	0	0.1	0.3	0	0	1	0	0.005872	0.2167	1
0.100000_0.400000	0	0	488	0	0.1	0.4	0	0	1	0	0.004111	0.1262	1
0.100000_0.500000	0	0	520	0	0.1	0.5	0	0	1	0	0	0.04449	1
0.100000_0.600000	0	0	552	0	0.1	0.6	0	0	1	0	0	0.007052	1
0.100000_0.700000	0	0	584	0	0.1	0.7	0	0	1	0	0	0	1
0.100000_0.800000	0	0	616	0	0.1	0.8	0	0	1	0	0	0	1
0.100000_0.900000	0	0	648	0	0.1	0.9	0	0	1	0	0	0	1
0.100000_1.000000	0	0	680	0	0.1	1	0	0	1	0	0	0	1
0.200000_0.000000	0	0	712	0	0.2	0	1	1	1	0.6758	0.0869	0.3948	1
0.200000_0.100000	0	0	744	0	0.2	0.1	0.75	1	0.75	0.6478	0.06842	0.3919	0.5
0.200000_0.200000	0	0	776	0	0.2	0.2	0.3125	0	0.6875	0.457	0.04525	0.3753	0.375
0.200000_0.300000	0	0	808	0	0.2	0.3	0	0	1	0	0.008221	0.2128	1
0.200000_0.400000	0	0	840	0	0.2	0.4	0	0	1	0	0.002545	0.1342	1
0.200000_0.500000	0	0	872	0	0.2	0.5	0	0	1	0	0	0.0476	1
0.200000_0.600000	0	0	904	0	0.2	0.6	0	0	1	0	0	0.007136	1
0.200000_0.700000	0	0	936	0	0.2	0.7	0	0	1	0	0	0	1
0.200000_0.800000	0	0	968	0	0.2	0.8	0	0	1	0	0.0001603	0	1
0.200000_0.900000	0	0	1000	0	0.2	0.9	0	0	1	0	0	0	1
0.200000_1.000000	0	0	1032	0	0.2	1	0	0	1	0	0	0	1
0.300000_0.000000	0	0	1064	0	0.3	0	0.9688	1	0.9688	0.5927	0.08358	0.3887	0.9375
0.300000_0.100000	0	0	1096	0	0.3	0.1	0.9062	1	0.9062	0.6115	0.07572	0.3903	0.8125
0.300000_0.200000	0	0	1128	0	0.3	0.2	0.5	1	0.5	0.445	0.05111	0.3579	0
0.300000_0.300000	0	0	1160	0	0.3	0.3	0	0	1	0	0.009983	0.2178	1
0.300000_0.400000	0	0	1192	0	0.3	0.4	0	0	1	0	0.01151	0.1503	1
0.300000_0.500000	0	0	1224	0	0.3	0.5	0	0	1	0	0	0.05368	1
0.300000_0.600000	0	0	1256	0	0.3	0.6	0	0	1	0	0	0.008049	1
0.300000_0.700000	0	0	1288	0	0.3	0.7	0	0	1	0	0	0	1
0.300000_0.800000	0	0	1320	0	0.3	0.8	0	0	1	0	0	0	1
0.300000_0.900000	0	0	1352	0	0.3	0.9	0	0	1	0	0	0	1
0.300000_1.000000	0	0	1384	0	0.3	1	0	0	1	0	0	0	1
0.400000_0.000000	0	0	1416	0	0.4	0	1	1	1	0.5073	0.1182	0.4314	1
0.400000_0.100000	0	0	1448	0	0.4	0.1	1	1	1	0.6483	0.103	0.4394	1
0.400000_0.200000	0	0	1480	0	0.4	0.2	0.9062	1	0.9062	0.4956	0.08503	0.4116	0.8125
0.400000_0.300000	0	0	1512	0	0.4	0.3	0.3125	1	0.3125	0.49	0.03558	0.303	-0.375
0.400000_0.400000	0	0	1544	0	0.4	0.4	0.25	0	0.75	0.465	0.04151	0.2742	0.5
0.400000_0.500000	0	0	1576	0	0.4	0.5	0	0	1	0	0.008613	0.2019	1
0.400000_0.600000	0	0	1608	0	0.4	0.6	0	0	1	0	0	0.00282	1
0.400000_0.700000	0	0	1640	0	0.4	0.7	0	0	1	0	0	0	1
0.400000_0.800000	0	0	1672	0	0.4	0.8	0	0	1	0	0	0	1
0.400000_0.900000	0	0	1704	0	0.4	0.9	0	0	1	0	0.0001002	0	1
0.400000_1.000000	0	0	1736	0	0.4	1	0	0	1	0	0.0001443	0	1
0.500000_0.000000	0	0	1768	0	0.5	0	1	1	1	0.3969	0.198	0.5751	1
0.500000_0.100000	0	0	1800	0	0.5	0.1	1	1	1	0.4382	0.1673	0.5472	1
0.500000_0.200000	0	0	1832	0	0.5	0.2	1	1	1	0.4412	0.1744	0.5677	1
0.500000_0.300000	0	0	1864	0	0.5	0.3	1	1	1	0.445	0.1233	0.4908	1
0.500000_0.400000	0	0	1896	0	0.5	0.4	1	1	1	0.4538	0.1081	0.4174	1
0.500000_0.500000	0	0	1928	0	0.5	0.5	0.875	0	0.125	0.5975	0.06812	0.3713	-0.75
0.500000_0.600000	0	0	1960	0	0.5	0.6	0.03125	0	0.9688	0	0.01406	0.2364	0.9375
0.500000_0.700000	0	0	1992	0	0.5	0.7	0	0	1	0	0.001174	0.1357	1
0.500000_0.800000	0	0	2024	0	0.5	0.8	0	0	1	0	0.0009787	0.1121	1
0.500000_0.900000	0	0	2056	0	0.5	0.9	0	0	1	0	0.003508	0.1082	1
0.500000_1.000000	0	0	2088	0	0.5	1	0	0	1	0	0.003132	0.1381	1
0.600000_0.000000	0	0	2120	0	0.6	0	1	1	1	0.3669	0.2347	0.6745	1
0.600000_0.100000	0	0	2152	0	0.6	0.1	1	1	1	0.3755	0.2078	0.6617	1
0.600000_0.200000	0	0	2184	0	0.6	0.2	1	1	1	0.4016	0.2101	0.6672	1
0.600000_0.300000	0	0	2216	0	0.6	0.3	1	1	1	0.4455	0.1793	0.598	1
0.600000_0.400000	0	0	2248	0	0.6	0.4	1	1	1	0.412	0.1894	0.5536	1
0.600000_0.500000	0	0	2280	0	0.6	0.5	1	1	1	0.465	0.1243	0.5025	1
0.600000_0.600000	0	0	2312	0	0.6	0.6	0.4375	0	0.5625	0.495	0.05066	0.3605	0.125
0.600000_0.700000	0	0	2344	0	0.6	0.7	0.3125	0	0.6875	0.435	0.03928	0.3255	0.375
0.600000_0.800000	0	0	2376	0	0.6	0.8	0.1562	0	0.8438	0.46	0.02633	0.2977	0.6875
0.600000_0.900000	0	0	2408	0	0.6	0.9	0	0	1	0	0.02781	0.3076	1
0.600000_1.000000	0	0	2440	0	0.6	1	0.1875	0	0.8125	0.455	0.03586	0.3144	0.625
0.700000_0.000000	0	0	2472	0	0.7	0	1	1	1	0.3694	0.3117	0.7167	1
0.700000_0.100000	0	0	2504	0	0.7	0.1	1	1	1	0.3994	0.3077	0.7194	1
0.700000_0.200000	0	0	2536	0	0.7	0.2	1	1	1	0.3892	0.2923	0.7213	1
0.700000_0.300000	0	0	2568	0	0.7	0.3	1	1	1	0.408	0.1785	0.6032	1
0.700000_0.400000	0	0	2600	0	0.7	0.4	1	1	1	0.4312	0.1795	0.5477	1
0.700000_0.500000	0	0	2632	0	0.7	0.5	1	1	1	0.4442	0.1451	0.5129	1
0.700000_0.600000	0	0	2664	0	0.7	0.6	0.9688	1	0.9688	0.5734	0.1006	0.4251	0.9375
0.700000_0.700000	0	0	2696	0	0.7	0.7	0.5312	0	0.4688	0.4675	0.04924	0.3429	-0.0625
0.700000_0.800000	0	0	2728	0	0.7	0.8	0.7188	0	0.2812	0.4637	0.07061	0.372	-0.4375
0.700000_0.900000	0	0	2760	0	0.7	0.9	0.5	0	0.5	0.4783	0.05376	0.3627	0
0.700000_1.000000	0	0	2792	0	0.7	1	0.5625	0	0.4375	0.48	0.057	0.3503	-0.125
0.800000_0.000000	0	0	2824	0	0.8	0	1	1	1	0.3664	0.3118	0.7271	1
0.800000_0.100000	0	0	2856	0	0.8	0.1	1	1	1	0.3731	0.31	0.7386	1
0.800000_0.200000	0	0	2888	0	0.8	0.2	1	1	1	0.38	0.2961	0.7353	1
0.800000_0.300000	0	0	2920	0	0.8	0.3	1	1	1	0.3942	0.2051	0.6121	1
0.800000_0.400000	0	0	2952	0	0.8	0.4	1	1	1	0.4172	0.1745	0.5689	1
0.800000_0.500000	0	0	2984	0	0.8	0.5	1	1	1	0.4424	0.1433	0.5152	1
0.800000_0.600000	0	0	3016	0	0.8	0.6	1	1	1	0.5374	0.1197	0.4655	1
0.800000_0.700000	0	0	3048	0	0.8	0.7	0.8438	1	0.8438	0.716	0.06471	0.3898	0.6875
0.800000_0.800000	0	0	3080	0	0.8	0.8	0.8438	0	0.1562	0.6836	0.06832	0.3935	-0.6875
0.800000_0.900000	0	0	3112	0	0.8	0.9	0.9375	0	0.0625	0.5953	0.08363	0.3974	-0.875
0.800000_1.000000	0	0	3144	0	0.8	1	0.9688	0	0.03125	0.6921	0.07593	0.3888	-0.9375
0.900000_0.000000	0	0	3176	0	0.9	0	1	1	1	0.3784	0.3219	0.7351	1
0.900000_0.100000	0	0	3208	0	0.9	0.1	1	1	1	0.3669	0.3139	0.7352	1
0.900000_0.200000	0	0	3240	0	0.9	0.2	1	1	1	0.3825	0.278	0.7381	1
0.900000_0.300000	0	0	3272	0	0.9	0.3	1	1	1	0.4242	0.1981	0.6153	1
0.900000_0.400000	0	0	3304	0	0.9	0.4	1	1	1	0.4158	0.1914	0.566	1
0.900000_0.500000	0	0	3336	0	0.9	0.5	1	1	1	0.4452	0.1395	0.5186	1
0.900000_0.600000	0	0	3368	0	0.9	0.6	1	1	1	0.566	0.1217	0.4804	1
0.900000_0.700000	0	0	3400	0	0.9	0.7	0.9062	1	0.9062	0.74	0.06991	0.3915	0.8125
0.900000_0.800000	0	0	3432	0	0.9	0.8	0.8125	1	0.8125	0.771	0.06589	0.3919	0.625
0.900000_0.900000	0	0	3464	0	0.9	0.9	0.9062	0	0.09375	0.6825	0.07584	0.3972	-0.8125
0.900000_1.000000	0	0	3496	0	0.9	1	0.9688	0	0.03125	0.6793	0.08067	0.3852	-0.9375
1.000000_0.000000	0	0	3528	0	1	0	1	1	1	0.3706	0.3138	0.7204	1
1.000000_0.100000	0	0	3560	0	1	0.1	1	1	1	0.4025	0.3111	0.7097	1
1.000000_0.200000	0	0	3592	0	1	0.2	1	1	1	0.373	0.2938	0.7006	1
1.000000_0.300000	0	0	3624	0	1	0.3	1	1	1	0.4223	0.1739	0.5923	1
1.000000_0.400000	0	0	3656	0	1	0.4	1	1	1	0.4419	0.1753	0.5374	1
1.000000_0.500000	0	0	3688	0	1	0.5	1	1	1	0.4769	0.1251	0.4999	1
1.000000_0.600000	0	0	3720	0	1	0.6	1	1	1	0.6491	0.1071	0.4547	1
1.000000_0.700000	0	0	3752	0	1	0.7	0.4688	1	0.4688	0.505	0.05002	0.3683	-0.0625
1.000000_0.800000	0	0	3784	0	1	0.8	0.7188	1	0.7188	0.6903	0.06728	0.3768	0.4375
1.000000_0.900000	0	0	3816	0	1	0.9	0.6562	1	0.6562	0.69	0.06033	0.3662	0.3125
1.000000_1.000000	0	0	3848	0	1	1	0.7812	0	0.2188	0.6742	0.06495	0.3767	-0.5625
