|Expt	|Run	|Epoch	$RunName	#PerTrialMSec	#NCorrect	#Rew	#RewPred	#RPE	#RT	#PPD1Cor	#PPD1Err	#PPD2Cor	#PPD2Err	#PPDAD1Cor	#PPDAD1Err	#PPDAD2Cor	#PPDAD2Err	#PPDAD1Cur	#PPDAD2Cur	#PF_ActMAvg	#PF_ActMMax	#PF_MaxGeM	#M1_ActMAvg	#M1_ActMMax	#M1_MaxGeM	#M1CT_ActMAvg	#M1CT_ActMMax	#M1CT_MaxGeM	#MotorBS_ActMAvg	#MotorBS_ActMMax	#MotorBS_MaxGeM	#PF_PCA_NStrong	#PF_PCA_Top5	#PF_PCA_Next	#PF_PCA_Rest	#M1_PCA_NStrong	#M1_PCA_Top5	#M1_PCA_Next	#M1_PCA_Rest	#M1CT_PCA_NStrong	#M1CT_PCA_Top5	#M1CT_PCA_Next	#M1CT_PCA_Rest	#MotorBS_PCA_NStrong	#MotorBS_PCA_Top5	#MotorBS_PCA_Next	#MotorBS_PCA_Rest
0	1	0	Base_000	230.813227	1.5390625	0.1218750027474016	0.10147282324032858	0.020482337509747595	81.54218769073486	0.211245784163475	0.15707857683300963	0.12138948589563363	0.17898595705628378	0.45331728016026324	0.25096622419077896	0.392218589613913	0.6470736648305329	0.374604592192918	0.4795561535574957	0.012615607702173293	0.03635961484784882	0.018566505983471874	0.013714744185563177	0.0693692951463163	0.16197620828946432	0.014636958483606577	0.11959935616080959	0.30545092684527236	0.02337460999842733	0.04289174483468135	0.0477366428822279	0.5234375	0.007275743265284695	0.0004800463763807752	0.0021390293349535404	1.328125	0.021940087005811626	0.004563951998599272	0.004218700048294762	1.9765625	0.05366730040693298	0.010857063370043125	0.010744589232337311	0.6953125	0.010777190840050969	0.0006749840117928154	0.003160057582440731
0	1	1	Base_000	87.734255	1.5859375	0.12968750286381692	0.10216235829284415	0.027528410777449608	104.90468692779541	0.2198304265737534	0.14144146367907548	0.06722605675458912	0.1714741241186859	0.5380905129946766	0.2584641626337545	0.18208256197394795	0.6125123324920425	0.4183828492183236	0.38985363675747076	0.007802773703588173	0.029681581538170573	0.018125650628159445	0.014221549150533974	0.06750001541028422	0.16301016323268414	0.009723846276756376	0.09429807433237632	0.12393234561507901	0.006957289879210293	0.01936441861713926	0.039127556296686336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	2	Base_000	85.310483	3.2421875	0.5031250087777153	0.11387887166347355	0.3910858847084455	113.97500038146973	0.2595042198896408	0.15551661178469656	0.03346530050039293	0.14414107687771316	0.6483583297580485	0.2971901523764242	0.08745567641453814	0.4880713308564732	0.5559303215704852	0.15086394387180865	0.011970935302088037	0.0647081572872897	0.056451680759588875	0.014328700141049922	0.06676127233852944	0.16464424195388955	0.0069239536533132195	0.0606308892990152	0.06066416545460622	0.007996242900844663	0.041272278409451246	0.05189990376432736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	3	Base_000	83.900319	4	0.6812500101514161	0.15293861168902367	0.5308554538642056	119.58593797683716	0.29673648774623906	0.18095172345638277	0.024549596011638652	0.12384923361241813	0.775691487081349	0.3684367561480029	0.07239880859851838	0.39804237875650866	0.7236143128946418	0	0.021586023271083832	0.10405631130561233	0.11581519308189553	0.014803198107983917	0.06635098035136858	0.16514927955965203	0.006280856468947604	0.048391645463804416	0.04313656579082211	0.018236131814774126	0.08184162061661482	0.07265489160393676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	4	Base_000	83.429623	3.984375	0.6500000096857548	0.18873080133926123	0.4634123273426667	124.4453125	0.30531946420669553	0.18165187388658524	0.023806481063365945	0.12412785217165946	0.7908837260678406	0.37133826529607206	0.06818506866693502	0.4012230561682372	0.7415557957720001	0.0026047274470329287	0.022289754822850227	0.10447182816763718	0.12010507797822358	0.01507818908430636	0.06566887317846218	0.16664335302387676	0.006353326258249581	0.03444458839173119	0.028483732137829065	0.020793360890820622	0.08616801910102366	0.08112201684465012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	5	Base_000	83.180293	4	0.7000000104308128	0.2241490512387827	0.4781060463283211	130.50625038146973	0.311003591120243	0.18367940112948444	0.02367612868547439	0.12413490153849117	0.8015974998474117	0.3783308694721197	0.06831732094287879	0.40123690381005866	0.7550981223583226	0	0.022664774442091584	0.10450505403180917	0.1253091172936062	0.015305046108551323	0.06544179655611515	0.16766791883856058	0.006260801310418174	0.035376347601413734	0.029280303356548153	0.021905956091359258	0.08982073469087481	0.08762208962192138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	6	Base_000	83.402179	4	0.6125000091269612	0.2553892674623057	0.3586045540869236	122.97656154632568	0.31729602813720714	0.18801411800086498	0.025956347584724444	0.12590574659407133	0.8187035501003272	0.39053958931472144	0.0797751441597938	0.40599113013740845	0.7690373301506049	0	0.023405340616591275	0.10455448584010203	0.13059481823196015	0.01565333822509274	0.06502695086722572	0.1692318861993651	0.006474325316958129	0.03523320658132434	0.029860980963955324	0.023317224578931928	0.09445194682727258	0.09472666370371977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	7	Base_000	83.238246	3.9921875	0.6359375095926225	0.27827767084818333	0.35917562269605696	106.39531230926514	0.32070155292749386	0.1909210573881864	0.0270240753889084	0.1284025069326163	0.8241539120674135	0.4008777616196322	0.08510793447494498	0.41416473259596326	0.7747728169430046	0.0020473331212997434	0.02595623768866062	0.10431589387978117	0.13275406990821165	0.01592555665411055	0.06507389914865296	0.17112177113691968	0.006876575091155246	0.03814501874148846	0.0338292255376776	0.025631382479332387	0.09662550889576475	0.1016065174092849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	8	Base_000	83.15041	3.984375	0.6250000093132257	0.30251869303174317	0.3237698704469949	97.87968730926514	0.3225379467010497	0.19327627234160893	0.02783739268779753	0.128195744752884	0.8288189113140103	0.40753466024762053	0.08911758363246905	0.411958091508131	0.779015749832615	0.001283089816570282	0.028200754546560347	0.1023865775205195	0.12472908121223251	0.01625721249729395	0.06907733514284092	0.17526458296924827	0.007241326937219128	0.03885684550429384	0.03547766478732229	0.0261982015799731	0.09233074417958657	0.10470011519889037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	9	Base_000	85.781635	3.15625	0.4578125085681677	0.310588143998757	0.14740374265238643	102.1875	0.3160839512944219	0.18343818597495537	0.02612632960081099	0.14121037609875203	0.8214659200981269	0.3642960538039915	0.07007987788529135	0.4849703545885864	0.706707149371505	0.1171665027155541	0.02514179440913722	0.07217748230323197	0.0547248451039195	0.016384352813474834	0.0720394680586954	0.1792142754420638	0.007153916725656018	0.04025382610658804	0.03678111871704459	0.017900212144013494	0.04774891367803017	0.06798770651221275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	10	Base_000	85.039429	4.8671875	0.9671875014901161	0.3398895163554698	0.6304368993733078	113.79843664169312	0.3327780380845068	0.17942693606019022	0.0011139705777168253	0.13816925771534444	0.8739211499691021	0.3465755787095988	0.0026585206389427188	0.48854817486862995	0.8595629917923366	0.01194151490926741	0.018255183240398765	0.09117282570029299	0.08690936801334223	0.016512396512553096	0.07663887397696575	0.1836398301335673	0.006820658250944689	0.03576130932196975	0.0314215716595451	0.014086327340919524	0.06776226110135515	0.06712084046254554	0.625	0.06467878644586689	5.644025938584989E-05	0.01726844589514098	0.703125	0.03502670545388594	0.0004501065932562785	0.005467651511671676	0.625	0.0059080274866779295	0.00018739930276367734	0.0009516659261189426	0.625	0.041224363175525774	2.6875182004353743E-05	0.011003540587683004
0	1	11	Base_000	84.045346	4.9921875	0.9984375000931323	0.39000416826456785	0.6114907851442695	127.56093692779541	0.34302186816930724	0.18439577929675596	8.268058300018303E-05	0.13612274974584584	0.8892366219311953	0.3622396002057938	0	0.48445835635066153	0.8879309821408241	0	0.020951675600372255	0.10365853163724147	0.1134175475065907	0.01679700764361769	0.07586743729189037	0.185442965477705	0.006747268431354314	0.03473266214132309	0.029787033485869568	0.019745166413486004	0.08607557804013294	0.08183101098984481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
