|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#Hidden1_AvgAbsCaDiff	#Hidden1_AvgAbsActDiff	#Hidden1_AvgCaD	#Hidden1_AvgCaSpkD	#Hidden1_AvgActDiff	#Hidden1_ActDiffCorrel	#Hidden1_AvgCaDiff	#Hidden1_CaDiffCorrel	#Hidden2_AvgAbsCaDiff	#Hidden2_AvgAbsActDiff	#Hidden2_AvgCaD	#Hidden2_AvgCaSpkD	#Hidden2_AvgActDiff	#Hidden2_ActDiffCorrel	#Hidden2_AvgCaDiff	#Hidden2_CaDiffCorrel	#Output_AvgAbsCaDiff	#Output_AvgAbsActDiff	#Output_AvgCaD	#Output_AvgCaSpkD	#Output_AvgActDiff	#Output_ActDiffCorrel	#Output_AvgCaDiff	#Output_CaDiffCorrel	#Hidden1_ActAvg	#Hidden1_MaxGeM	#Hidden1_AvgDifAvg	#Hidden1_AvgDifMax	#Hidden1_CorSim	#Hidden2_ActAvg	#Hidden2_MaxGeM	#Hidden2_AvgDifAvg	#Hidden2_AvgDifMax	#Hidden2_CorSim	#Output_ActAvg	#Output_MaxGeM	#Output_AvgDifAvg	#Output_AvgDifMax	#Output_CorSim	#Input_ActAvg	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	0	Base	0.04085	0.2464	1	0	0	0	0	0	0	0.01398	0.03107	0.2024	0.1037	0.01135	0.4343	0.01388	0.3088	0.01493	0.05449	0.1974	0.1028	0.0277	0.7485	0.01444	0.4256	0.07955	0.2786	0.2027	0.2323	0.07723	1	-0.0003503	0.7769	0.08573	1.022	0	0	0.9417	0.09474	0.9113	0	0	0.8208	0.1923	0.9383	0	0	0.04085	0.1952	19	0.0963	0.04537	0.003509	13	0.06227	0.02264	0.001921	6	0.03037	0.008707	0.001504
0	1	Base	0.2515	0.2352	1	0	0	0	0	0	14.44	0.01303	0.02811	0.2042	0.1047	0.01099	0.3184	0.01291	0.1899	0.01397	0.05195	0.2007	0.1023	0.02572	0.5476	0.01354	0.3925	0.08253	0.2583	0.2236	0.2414	0.06609	1	-0.005615	0.7156	0.08468	1.044	0	0	0.9464	0.09375	0.9078	0	0	0.8285	0.1933	1.02	0	0	0.2515	0.2085	19	0.0963	0.04537	0.003509	13	0.06227	0.02264	0.001921	6	0.03037	0.008707	0.001504
0	2	Base	0.3999	0.2288	1	0	0	0	0	0	13.86	0.01257	0.02687	0.2049	0.1043	0.008392	0.2993	0.01241	-0.1094	0.01304	0.04701	0.2029	0.1019	0.0201	0.4007	0.0124	0.3451	0.0855	0.2461	0.2411	0.2504	0.04901	1	-0.01075	0.53	0.08387	1.053	0	0	0.9512	0.09158	0.9244	0	0	0.8495	0.1957	1.108	0	0	0.3999	0.2124	19	0.0963	0.04537	0.003509	13	0.06227	0.02264	0.001921	6	0.03037	0.008707	0.001504
0	3	Base	0.4817	0.2272	1	0	0	0	0	0	13.89	0.01289	0.02691	0.2065	0.1056	0.009172	0.5017	0.01271	0.05386	0.01292	0.04833	0.2056	0.1042	0.02219	0.4564	0.01227	0.4578	0.08819	0.2327	0.2563	0.2566	0.03623	1	-0.01367	0.7824	0.08493	1.062	0.5328	1.597	0.9509	0.09372	0.9372	0.6134	1.479	0.8384	0.1957	1.214	0.5118	1.538	0.4817	0.2138	19	0.0963	0.04537	0.003509	13	0.06227	0.02264	0.001921	6	0.03037	0.008707	0.001504
0	4	Base	0.5233	0.2256	1	0	0	0	0	0	13.9	0.01251	0.02664	0.2071	0.1048	0.007418	0.4253	0.0123	0.1367	0.01218	0.04969	0.2065	0.1023	0.02201	0.3313	0.01129	0.1234	0.08632	0.2311	0.2477	0.256	0.03657	1	-0.01167	0.4476	0.08413	1.06	0.5328	1.597	0.9511	0.09349	0.9398	0.6134	1.479	0.8349	0.1961	1.207	0.5118	1.538	0.5233	0.2137	19	0.0963	0.04537	0.003509	13	0.06227	0.02264	0.001921	6	0.03037	0.008707	0.001504
0	5	Base	0.5483	0.2096	1	0	0	0	0	0	14.05	0.01242	0.02552	0.2082	0.1063	0.007114	0.3186	0.01218	0.02747	0.01221	0.04705	0.2092	0.102	0.02022	0.525	0.01131	0.3045	0.08732	0.2193	0.2607	0.2585	0.02207	1	-0.01709	0.6614	0.08471	1.066	0.5328	1.597	0.9513	0.09261	0.957	0.6134	1.479	0.8328	0.1944	1.257	0.5118	1.538	0.5483	0.214	19	0.1111	0.05231	0.004123	16	0.07294	0.02994	0.00255	12	0.08143	0.02444	0.003525
0	6	Base	0.6238	0.1984	1	0	0	0	0	0	13.71	0.01215	0.02527	0.2085	0.1063	0.006671	0.4237	0.01192	-0.18	0.01196	0.04547	0.2091	0.1008	0.01728	0.5563	0.01101	0.2735	0.08645	0.2043	0.2623	0.2597	0.01631	1	-0.01724	0.5765	0.08501	1.075	0.5328	1.597	0.9566	0.09149	0.9591	0.6134	1.479	0.8462	0.1935	1.295	0.5118	1.538	0.6238	0.2138	19	0.1111	0.05231	0.004123	16	0.07294	0.02994	0.00255	12	0.08143	0.02444	0.003525
0	7	Base	0.6255	0.1776	1	0	0	0	0	0	13.75	0.0123	0.02523	0.2093	0.1077	0.007413	0.2297	0.01207	-0.007955	0.01194	0.04706	0.2128	0.1022	0.01927	0.6725	0.01122	0.2801	0.08767	0.1993	0.2696	0.2631	0.007146	1	-0.01938	0.8535	0.08537	1.078	0.3257	1.066	0.9558	0.09228	0.9731	0.3154	0.9462	0.8405	0.1923	1.346	0.4989	1.529	0.6255	0.2136	19	0.1111	0.05231	0.004123	16	0.07294	0.02994	0.00255	12	0.08143	0.02444	0.003525
0	8	Base	0.6793	0.1616	0.96	0.04	0	0	0	0	13.84	0.01228	0.02413	0.212	0.1085	0.00622	0.4331	0.01198	0.1737	0.01139	0.04228	0.2172	0.1032	0.01593	0.5389	0.01046	0.1444	0.08925	0.1888	0.2752	0.2631	-0.004041	1	-0.02215	0.7974	0.08561	1.096	0.3257	1.066	0.9571	0.09043	1.007	0.3154	0.9462	0.867	0.1921	1.376	0.4989	1.529	0.6793	0.2138	19	0.1111	0.05231	0.004123	16	0.07294	0.02994	0.00255	12	0.08143	0.02444	0.003525
0	9	Base	0.7346	0.1536	0.96	0.04	0	0	0	0	13.56	0.01234	0.02358	0.2126	0.1097	0.0056	0.6472	0.01203	-0.1202	0.01119	0.04134	0.219	0.1026	0.01419	0.4802	0.01035	0.2463	0.08832	0.1791	0.2766	0.2672	-0.01654	1	-0.0225	0.7499	0.08646	1.105	0.3257	1.066	0.9616	0.09085	1.029	0.3154	0.9462	0.8747	0.1929	1.402	0.4989	1.529	0.7346	0.2141	19	0.1111	0.05231	0.004123	16	0.07294	0.02994	0.00255	12	0.08143	0.02444	0.003525
0	10	Base	0.7245	0.1536	1	0	0	0	0	0	13.57	0.01172	0.0228	0.2137	0.11	0.005539	0.3281	0.01139	0.1689	0.01066	0.04073	0.2213	0.1041	0.01233	0.3978	0.009678	0.3765	0.08948	0.1743	0.2876	0.2722	-0.02575	1	-0.02657	0.3792	0.08636	1.118	0.3257	1.066	0.9627	0.09121	1.043	0.3154	0.9462	0.8717	0.1897	1.469	0.4989	1.529	0.7245	0.2137	19	0.1199	0.06173	0.004382	17	0.08275	0.03848	0.002987	14	0.1196	0.04697	0.006945
0	11	Base	0.7718	0.144	1	0	0	0	0	0	13.55	0.0123	0.02119	0.2144	0.1119	0.005401	0.5156	0.01197	-0.08601	0.01118	0.04014	0.2243	0.1046	0.01447	0.385	0.01044	0.2935	0.08921	0.1624	0.2891	0.2705	-0.0229	1	-0.02681	0.604	0.08705	1.12	0.2715	0.7818	0.968	0.09089	1.064	0.2765	0.7687	0.8876	0.1894	1.488	0.4995	1.44	0.7718	0.2136	19	0.1199	0.06173	0.004382	17	0.08275	0.03848	0.002987	14	0.1196	0.04697	0.006945
0	12	Base	0.7574	0.1264	0.96	0.04	0	0	0	0	13.39	0.01224	0.02181	0.217	0.1123	0.004319	0.03075	0.01178	0.1763	0.01087	0.03912	0.2273	0.1047	0.01078	0.4186	0.009862	0.05117	0.09001	0.1639	0.2931	0.2734	-0.03248	1	-0.02922	0.4669	0.08743	1.134	0.2715	0.7818	0.9667	0.09079	1.08	0.2765	0.7687	0.8815	0.1887	1.533	0.4995	1.44	0.7574	0.2138	19	0.1199	0.06173	0.004382	17	0.08275	0.03848	0.002987	14	0.1196	0.04697	0.006945
0	13	Base	0.7697	0.112	0.84	0.16	0	0	0	0	13.56	0.01216	0.01999	0.2182	0.1133	0.004414	0.3376	0.01184	-0.2537	0.01078	0.03865	0.2295	0.1055	0.01205	0.5008	0.009776	-0.04041	0.09018	0.1535	0.2992	0.2769	-0.03501	1	-0.03186	0.5557	0.08733	1.145	0.2715	0.7818	0.97	0.09126	1.106	0.2765	0.7687	0.8869	0.1882	1.562	0.4995	1.44	0.7697	0.2143	19	0.1199	0.06173	0.004382	17	0.08275	0.03848	0.002987	14	0.1196	0.04697	0.006945
0	14	Base	0.8035	0.1056	0.96	0.04	0	0	0	0	13.28	0.01194	0.02012	0.2174	0.1139	0.004337	0.06897	0.01166	-0.3231	0.01082	0.03699	0.2315	0.1045	0.009726	0.378	0.009871	0.08046	0.08835	0.146	0.2955	0.2761	-0.03603	1	-0.03113	0.6282	0.08765	1.147	0.2715	0.7818	0.9701	0.08938	1.113	0.2765	0.7687	0.8917	0.1877	1.555	0.4995	1.44	0.8035	0.2137	19	0.1199	0.06173	0.004382	17	0.08275	0.03848	0.002987	14	0.1196	0.04697	0.006945
0	15	Base	0.7891	0.1232	0.88	0.12	0	0	0	0	13.38	0.0122	0.01863	0.2188	0.1153	0.004186	0.3927	0.01188	-0.1184	0.01109	0.03642	0.2339	0.1059	0.01012	0.3859	0.01031	0.02759	0.08986	0.1495	0.3003	0.2784	-0.03763	1	-0.03249	0.6299	0.08811	1.15	0.2654	0.6935	0.9738	0.08993	1.133	0.2539	0.56	0.9034	0.1881	1.562	0.4997	1.433	0.7891	0.2138	20	0.1425	0.06178	0.004767	18	0.09853	0.03905	0.003139	16	0.1582	0.0616	0.0103
0	16	Base	0.8396	0.0864	0.84	0.16	0	0	0	0	13.22	0.01209	0.02034	0.2208	0.115	0.004035	0.4561	0.01169	0.06016	0.01094	0.0375	0.2358	0.1055	0.009568	0.6325	0.01003	0.4057	0.08796	0.1343	0.2996	0.2772	-0.03787	1	-0.0327	0.6346	0.08868	1.161	0.2654	0.6935	0.9699	0.09036	1.135	0.2539	0.56	0.8919	0.1877	1.581	0.4997	1.433	0.8396	0.2138	20	0.1425	0.06178	0.004767	18	0.09853	0.03905	0.003139	16	0.1582	0.0616	0.0103
0	17	Base	0.8364	0.0752	0.84	0.16	0	0	0	0	13	0.01202	0.01855	0.2218	0.1174	0.003452	0.07221	0.01159	-0.03406	0.01086	0.03581	0.2407	0.1053	0.007617	0.4655	0.009565	0.1964	0.08875	0.1331	0.3018	0.2784	-0.04866	1	-0.03504	0.6257	0.0894	1.169	0.2654	0.6935	0.9736	0.08998	1.166	0.2539	0.56	0.9078	0.1882	1.601	0.4997	1.433	0.8364	0.2138	20	0.1425	0.06178	0.004767	18	0.09853	0.03905	0.003139	16	0.1582	0.0616	0.0103
0	18	Base	0.839	0.0784	0.72	0.28	0	0	0	0	13.1	0.01195	0.01794	0.2222	0.1171	0.002496	0.1076	0.01156	-0.1074	0.0104	0.03372	0.241	0.1059	0.00589	0.2339	0.009283	-0.04483	0.08784	0.1295	0.3027	0.2798	-0.04789	1	-0.03488	0.5039	0.0889	1.179	0.2654	0.6935	0.9764	0.08898	1.176	0.2539	0.56	0.9132	0.1867	1.592	0.4997	1.433	0.839	0.2135	20	0.1425	0.06178	0.004767	18	0.09853	0.03905	0.003139	16	0.1582	0.0616	0.0103
0	19	Base	0.8192	0.0896	0.84	0.16	0	0	0	0	13.25	0.01235	0.01853	0.2235	0.1191	0.004061	0.4945	0.01193	-0.07799	0.01124	0.0338	0.2435	0.1071	0.007929	0.4849	0.01037	0.2521	0.0886	0.1351	0.3032	0.2809	-0.04934	1	-0.03395	0.5936	0.09033	1.182	0.2584	0.5776	0.9746	0.08988	1.189	0.2566	0.6032	0.9199	0.1869	1.582	0.4863	1.435	0.8192	0.2139	20	0.1425	0.06178	0.004767	18	0.09853	0.03905	0.003139	16	0.1582	0.0616	0.0103
0	20	Base	0.8416	0.0768	0.8	0.2	0	0	0	0	13.07	0.01224	0.0169	0.2257	0.1196	0.002632	0.454	0.01173	0.2961	0.01103	0.03308	0.2469	0.107	0.006199	0.4656	0.01001	0.1976	0.08719	0.123	0.307	0.2796	-0.05096	1	-0.03776	0.5837	0.08958	1.197	0.2584	0.5776	0.9767	0.08933	1.211	0.2566	0.6032	0.9121	0.1866	1.617	0.4863	1.435	0.8416	0.2136	21	0.1528	0.06943	0.005236	19	0.1103	0.04769	0.003697	18	0.2037	0.0809	0.01482
0	21	Base	0.8549	0.0752	0.76	0.24	0	0	0	0	13.17	0.01215	0.01798	0.2261	0.1208	0.003549	0.5034	0.0117	0.06707	0.01122	0.03328	0.2487	0.107	0.005738	0.4909	0.01051	0.09665	0.08639	0.1255	0.3027	0.2796	-0.04593	1	-0.03553	0.6633	0.09179	1.209	0.2584	0.5776	0.9762	0.08921	1.22	0.2566	0.6032	0.9158	0.1866	1.611	0.4863	1.435	0.8549	0.214	21	0.1528	0.06943	0.005236	19	0.1103	0.04769	0.003697	18	0.2037	0.0809	0.01482
0	22	Base	0.8418	0.0768	0.76	0.24	0	0	0	0	13.02	0.01235	0.01751	0.2275	0.1217	0.002196	0.3571	0.01174	-0.2278	0.01138	0.03347	0.252	0.1078	0.00447	0.4228	0.01007	0.2064	0.08782	0.1267	0.3068	0.2821	-0.04994	1	-0.03793	0.6625	0.09169	1.216	0.2584	0.5776	0.9767	0.0885	1.232	0.2566	0.6032	0.9138	0.1869	1.62	0.4863	1.435	0.8418	0.214	21	0.1528	0.06943	0.005236	19	0.1103	0.04769	0.003697	18	0.2037	0.0809	0.01482
0	23	Base	0.8911	0.056	0.76	0.24	0	0	0	0	13.15	0.01206	0.01761	0.2277	0.1224	0.003146	0.6828	0.01164	-0.2526	0.01157	0.03359	0.2524	0.1087	0.00586	0.6054	0.01045	0.1704	0.08651	0.1172	0.304	0.2815	-0.05169	1	-0.03569	0.8316	0.09205	1.216	0.2542	0.5691	0.9764	0.09046	1.228	0.2607	0.7076	0.9148	0.1864	1.621	0.4814	1.265	0.8911	0.2138	21	0.1528	0.06943	0.005236	19	0.1103	0.04769	0.003697	18	0.2037	0.0809	0.01482
0	24	Base	0.8625	0.056	0.64	0.36	0	0	0	0	13.11	0.0118	0.01505	0.2297	0.1234	0.002364	0.5983	0.01135	0.1067	0.0114	0.03061	0.2558	0.1078	0.003311	0.2375	0.01039	0.3551	0.08606	0.1204	0.3058	0.2833	-0.05505	1	-0.03847	0.4267	0.0913	1.221	0.2542	0.5691	0.9806	0.089	1.262	0.2607	0.7076	0.9299	0.1863	1.634	0.4814	1.265	0.8625	0.2135	21	0.1528	0.06943	0.005236	19	0.1103	0.04769	0.003697	18	0.2037	0.0809	0.01482
0	25	Base	0.8598	0.064	0.8	0.2	0	0	0	0	13.1	0.01234	0.01531	0.2305	0.1241	0.002343	0.4123	0.01193	0.1017	0.01118	0.0304	0.2586	0.1094	0.005489	0.2501	0.01025	0.1664	0.08542	0.1188	0.3035	0.2822	-0.04899	1	-0.03657	0.6785	0.09232	1.23	0.2542	0.5691	0.9816	0.08979	1.269	0.2607	0.7076	0.9341	0.186	1.64	0.4814	1.265	0.8598	0.2135	20	0.1686	0.07423	0.005387	19	0.1245	0.04918	0.0035	18	0.2033	0.08744	0.01489
0	26	Base	0.867	0.0688	0.68	0.32	0	0	0	0	12.98	0.01207	0.01578	0.2313	0.1247	0.00238	0.5009	0.01156	-0.179	0.01161	0.03046	0.2593	0.1101	0.004394	0.1851	0.01055	0.1883	0.0862	0.1172	0.3049	0.2796	-0.05384	1	-0.03767	0.3805	0.09313	1.241	0.2542	0.5691	0.9827	0.09097	1.287	0.2607	0.7076	0.9329	0.1856	1.632	0.4814	1.265	0.867	0.2134	20	0.1686	0.07423	0.005387	19	0.1245	0.04918	0.0035	18	0.2033	0.08744	0.01489
0	27	Base	0.9005	0.0432	0.64	0.36	0	0	0	0	13.14	0.01265	0.01499	0.233	0.1267	0.001517	0.2164	0.01211	-0.04198	0.01167	0.02972	0.2634	0.112	0.004794	0.2025	0.01071	-0.06411	0.0857	0.1064	0.3101	0.2843	-0.05362	1	-0.03887	0.4324	0.09348	1.248	0.2584	0.667	0.9832	0.09066	1.306	0.265	0.5903	0.936	0.1856	1.652	0.4878	1.399	0.9005	0.2138	20	0.1686	0.07423	0.005387	19	0.1245	0.04918	0.0035	18	0.2033	0.08744	0.01489
0	28	Base	0.876	0.0464	0.6	0.4	0	0	0	0	13.03	0.01249	0.01607	0.2344	0.1261	0.002373	0.5334	0.01195	0.06823	0.01215	0.0298	0.2641	0.1116	0.003636	0.2948	0.01107	0.2276	0.08449	0.1111	0.3032	0.2822	-0.05269	1	-0.03753	0.2347	0.09378	1.265	0.2584	0.667	0.9802	0.09053	1.314	0.265	0.5903	0.9326	0.1855	1.638	0.4878	1.399	0.876	0.2133	20	0.1686	0.07423	0.005387	19	0.1245	0.04918	0.0035	18	0.2033	0.08744	0.01489
0	29	Base	0.8652	0.0656	0.8	0.2	0	0	0	0	13.02	0.01282	0.0147	0.2365	0.1279	0.001553	0.3363	0.01224	-0.1018	0.01208	0.02886	0.2679	0.1132	0.002695	0.3049	0.01111	0.05366	0.08458	0.1211	0.3075	0.285	-0.05865	1	-0.03922	0.5089	0.09469	1.281	0.2584	0.667	0.9827	0.09134	1.339	0.265	0.5903	0.9389	0.1856	1.669	0.4878	1.399	0.8652	0.2139	20	0.1686	0.07423	0.005387	19	0.1245	0.04918	0.0035	18	0.2033	0.08744	0.01489
0	30	Base	0.8932	0.0432	0.52	0.48	0	0	0	0	12.87	0.01248	0.01417	0.2374	0.1286	0.001333	0.2377	0.01191	-0.1596	0.01188	0.02808	0.2701	0.1141	0.001177	0.0976	0.0108	0.02391	0.08561	0.112	0.309	0.2855	-0.06193	1	-0.03959	0.2245	0.09482	1.283	0.2584	0.667	0.985	0.09136	1.343	0.265	0.5903	0.9434	0.1852	1.668	0.4878	1.399	0.8932	0.2138	21	0.1853	0.07942	0.005501	20	0.1454	0.05103	0.00399	19	0.2148	0.1082	0.01785
0	31	Base	0.887	0.0464	0.6	0.4	0	0	0	0	12.76	0.01257	0.01346	0.2382	0.13	0.001052	0.4191	0.01189	-0.2031	0.01193	0.02768	0.2732	0.1141	0.002229	0.06526	0.0111	-0.0573	0.08355	0.1097	0.309	0.2883	-0.06	1	-0.04006	0.4871	0.09527	1.298	0.2663	0.5037	0.986	0.09164	1.364	0.264	0.5276	0.9452	0.1849	1.678	0.497	1.285	0.887	0.2136	21	0.1853	0.07942	0.005501	20	0.1454	0.05103	0.00399	19	0.2148	0.1082	0.01785
0	32	Base	0.906	0.0272	0.48	0.52	0	0	0	0	12.71	0.01262	0.01436	0.2402	0.1308	0.001922	0.2722	0.01205	0.0699	0.01253	0.02855	0.2755	0.1142	0.002423	0.2057	0.01162	-0.007029	0.08262	0.1047	0.3029	0.2842	-0.06321	1	-0.0378	0.3846	0.09624	1.309	0.2663	0.5037	0.985	0.09204	1.389	0.264	0.5276	0.9449	0.1847	1.638	0.497	1.285	0.906	0.2135	21	0.1853	0.07942	0.005501	20	0.1454	0.05103	0.00399	19	0.2148	0.1082	0.01785
0	33	Base	0.9272	0.024	0.48	0.52	0	0	0	0	12.74	0.01321	0.0143	0.2419	0.1319	0.001712	0.1931	0.01261	0.04669	0.01253	0.0282	0.2792	0.1164	0.00349	-0.05719	0.01167	-0.04484	0.0821	0.1	0.3082	0.2912	-0.06396	1	-0.03944	0.3934	0.09724	1.306	0.2663	0.5037	0.985	0.09287	1.402	0.264	0.5276	0.9479	0.1851	1.674	0.497	1.285	0.9272	0.214	21	0.1853	0.07942	0.005501	20	0.1454	0.05103	0.00399	19	0.2148	0.1082	0.01785
0	34	Base	0.9232	0.0288	0.52	0.48	0	0	0	0	12.75	0.01316	0.01243	0.2429	0.1331	0.0006978	0.342	0.01255	0.03679	0.01276	0.02572	0.2811	0.1175	0.001614	0.2099	0.01187	0.3184	0.08308	0.1025	0.308	0.288	-0.06337	1	-0.03944	0.6956	0.09727	1.32	0.2663	0.5037	0.988	0.09312	1.415	0.264	0.5276	0.9568	0.1851	1.688	0.497	1.285	0.9232	0.2141	21	0.1853	0.07942	0.005501	20	0.1454	0.05103	0.00399	19	0.2148	0.1082	0.01785
0	35	Base	0.903	0.0384	0.56	0.44	0	0	0	0	12.74	0.01259	0.01232	0.2427	0.1326	9.961e-05	0.02404	0.01192	-0.1626	0.01241	0.02455	0.2807	0.1169	-0.0001153	0.2484	0.01137	0.1334	0.08256	0.1067	0.307	0.287	-0.06139	1	-0.04008	0.434	0.09655	1.32	0.3019	0.7478	0.9893	0.09245	1.413	0.2969	0.7478	0.9611	0.185	1.692	0.5114	1.418	0.903	0.2132	20	0.1972	0.0883	0.005814	19	0.1596	0.05966	0.004211	17	0.2341	0.1086	0.01939
0	36	Base	0.8851	0.056	0.68	0.32	0	0	0	0	12.73	0.01319	0.01371	0.2458	0.1339	0.0006369	0.1055	0.01238	-0.06278	0.01269	0.0271	0.2866	0.1178	0.0001801	0.5421	0.01138	-0.215	0.0824	0.1133	0.3051	0.2885	-0.06108	1	-0.03874	0.1904	0.09807	1.348	0.3019	0.7478	0.9845	0.09348	1.427	0.2969	0.7478	0.9486	0.1843	1.681	0.5114	1.418	0.8851	0.214	20	0.1972	0.0883	0.005814	19	0.1596	0.05966	0.004211	17	0.2341	0.1086	0.01939
0	37	Base	0.9138	0.0336	0.52	0.48	0	0	0	0	12.69	0.01295	0.01258	0.2467	0.1361	0.0004838	-0.06185	0.01217	-0.2371	0.01314	0.0263	0.2906	0.1185	0.0001089	0.09107	0.01209	-0.3068	0.08158	0.1027	0.3046	0.2879	-0.06209	1	-0.03924	0.2753	0.09954	1.369	0.3019	0.7478	0.9887	0.09312	1.457	0.2969	0.7478	0.9554	0.1839	1.682	0.5114	1.418	0.9138	0.2142	20	0.1972	0.0883	0.005814	19	0.1596	0.05966	0.004211	17	0.2341	0.1086	0.01939
